Date - Time,Date,Day Number,Day of Week,Distance (mi),Elevation Gain (ft),Calories,Avg HR (bpm),HRSS,HRSS / h,Cadence,Avg Watts (w)
2020-09-10T11:14:03-04:00,9/10/20,168,Thursday,3.12,22.9,184,127,12,30,180,239
2020-09-09T06:26:30-04:00,9/9/20,167,Wednesday,3.13,22.5,286,159,29,74,180,237
2020-09-08T07:38:56-04:00,9/8/20,166,Tuesday,3.13,22.4,291,159,31,77,178,233
2020-09-07T06:25:55-04:00,9/7/20,165,Monday,3.14,22.5,288,156,28,71,178,231
2020-09-06T07:00:15-04:00,9/6/20,164,Sunday,13.14,204.2,1064,151,115,62,180,224
2020-09-05T10:35:11-04:00,9/5/20,163,Saturday,3.29,34.8,305,163,36,87,182,238
2020-09-04T06:39:21-04:00,9/4/20,162,Friday,3.15,31.7,282,157,28,71,182,237
2020-09-03T08:47:46-04:00,9/3/20,161,Thursday,3.14,32,292,162,33,84,182,236
2020-09-02T06:45:18-04:00,9/2/20,160,Wednesday,3.13,22.5,285,160,31,78,182,238
2020-09-01T10:02:31-04:00,9/1/20,159,Tuesday,3.12,37.5,194,126,14,31,182,234
2020-08-31T10:09:10-04:00,8/31/20,158,Monday,3.21,41.1,274,151,30,63,180,236
2020-08-30T07:17:20-04:00,8/30/20,157,Sunday,19.02,189.8,1427,153,178,64,178,223
2020-08-29T12:07:30-04:00,8/29/20,156,Saturday,3.23,38.4,303,166,37,92,182,237
2020-08-28T11:49:15-04:00,8/28/20,155,Friday,3.23,38.2,288,159,32,80,178,237
2020-08-27T11:02:54-04:00,8/27/20,154,Thursday,3.16,34.6,301,167,37,94,182,235
2020-08-26T10:22:10-04:00,8/26/20,153,Wednesday,3.17,36.8,291,165,35,90,182,240
2020-08-25T10:13:26-04:00,8/25/20,152,Tuesday,3.22,37.9,293,161,32,80,182,239
2020-08-24T11:07:17-04:00,8/24/20,151,Monday,3.13,39.7,258,151,33,65,180,240
2020-08-23T09:34:07-04:00,8/23/20,150,Sunday,17.01,176.3,1267,154,216,68,180,228
2020-08-22T11:13:48-04:00,8/22/20,149,Saturday,3.13,44.6,308,170,40,101,178,235
2020-08-21T10:55:05-04:00,8/21/20,148,Friday,3.22,42.6,259,151,32,68,184,252
2020-08-20T09:43:03-04:00,8/20/20,147,Thursday,3.13,37.1,255,151,30,65,182,246
2020-08-19T11:38:53-04:00,8/19/20,146,Wednesday,3.12,38.7,274,160,32,83,180,244
2020-08-18T10:10:58-04:00,8/18/20,145,Tuesday,3.13,41.7,290,162,38,86,182,238
2020-08-17T06:41:16-04:00,8/17/20,144,Monday,3.13,42.6,248,143,25,51,180,235
2020-08-16T08:07:51-04:00,8/16/20,143,Sunday,15.04,259,1175,153,168,66,180,227
2020-08-15T11:09:18-04:00,8/15/20,142,Saturday,3.15,17.9,308,161,38,82,178,225
2020-08-14T06:22:02-04:00,8/14/20,141,Friday,3.18,41,293,154,27,67,180,229
2020-08-13T21:10:36-04:00,8/13/20,140,Thursday,2.71,24.2,265,156,25,68,174,219
2020-08-13T07:48:30-04:00,8/13/20,140,Thursday,2.01,41.1,167,144,18,51,178,231
2020-08-12T06:25:19-04:00,8/12/20,139,Wednesday,3.14,42.1,269,152,25,62,178,231
2020-08-11T08:32:08-04:00,8/11/20,138,Tuesday,6.24,96.2,535,158,67,76,178,238
2020-08-10T06:27:13-04:00,8/10/20,137,Monday,3.12,48.3,267,149,30,61,180,229
2020-08-09T06:23:34-04:00,8/9/20,136,Sunday,13.15,110.4,1111,163,147,84,176,234
2020-08-08T08:20:07-04:00,8/8/20,135,Saturday,3.11,18.4,298,165,37,89,178,226
2020-08-07T08:24:21-04:00,8/7/20,134,Friday,3.13,18.8,305,165,37,89,178,224
2020-08-06T08:41:40-04:00,8/6/20,133,Thursday,4.03,20.6,388,158,43,74,178,216
2020-08-05T07:08:07-04:00,8/5/20,132,Wednesday,3.11,0,306,156,32,71,180,214
2020-08-04T06:27:39-04:00,8/4/20,131,Tuesday,7.02,34.4,658,155,79,69,178,214
2020-08-03T06:48:14-04:00,8/3/20,130,Monday,3.2,195.7,279,158,28,72,182,242
2020-08-02T08:30:51-04:00,8/2/20,129,Sunday,3.23,105.2,297,157,31,72,182,230
2020-07-29T19:12:00-04:00,8/1/20,128,Saturday,3.19,0,697,-,-,-,-,-
2020-08-01T08:18:38-04:00,7/31/20,127,Friday,6.35,150.9,272,158,29,74,184,246
2020-07-31T09:00:00-04:00,7/30/20,126,Thursday,3.21,133.1,583,164,71,86,184,227
2020-07-30T08:16:57-04:00,7/29/20,125,Wednesday,6.27,151.2,276,164,32,85,184,251
2020-07-28T08:47:23-04:00,7/28/20,124,Tuesday,3.2,151,280,163,33,84,182,244
2020-07-24T09:13:11-04:00,7/27/20,123,Monday,10.16,132.6,559,162,79,86,180,227
2020-07-23T08:13:44-04:00,7/26/20,122,Sunday,3.18,151.1,296,167,38,95,178,236
2020-07-22T19:07:42-04:00,7/25/20,121,Saturday,3.2,155.4,609,171,85,101,176,232
2020-07-27T07:21:40-04:00,7/24/20,120,Friday,6.31,188.4,888,161,113,79,178,224
2020-07-26T08:19:04-04:00,7/23/20,119,Thursday,3.19,151,281,162,33,82,178,236
2020-07-25T08:36:33-04:00,7/22/20,118,Wednesday,6.3,151.2,286,165,35,89,180,239
2020-07-21T07:18:54-04:00,7/21/20,117,Tuesday,3.2,151.1,271,151,28,63,178,235
2020-07-20T07:58:19-04:00,7/20/20,116,Monday,10.14,188.4,929,165,118,88,178,230
2020-07-19T09:40:16-04:00,7/19/20,115,Sunday,3.13,187.3,271,156,33,71,174,235
2020-07-18T06:54:26-04:00,7/18/20,114,Saturday,3.22,164.6,290,163,33,84,178,241
2020-07-17T07:09:08-04:00,7/17/20,113,Friday,6.44,142.7,569,161,64,79,182,232
